timestamp,Nuclear,Hydro water reservoir,Others,Wind onshore
1/6/2015 12:00,0.747131609,0.569095477,0.181384248,0.458287796
1/6/2015 13:00,0.747131609,0.572864322,0.181622912,0.480692168
1/6/2015 14:00,0.746794151,0.600628141,0.181861575,0.509107468
1/6/2015 15:00,0.746006749,0.631407035,0.183651551,0.540255009
1/6/2015 16:00,0.74488189,0.635364322,0.183651551,0.581238616
1/6/2015 17:00,0.74488189,0.609924623,0.183412888,0.602550091
1/6/2015 18:00,0.745219348,0.57330402,0.182458234,0.612750455
1/6/2015 19:00,0.745219348,0.528454774,0.18150358,0.634972678
1/6/2015 20:00,0.745331834,0.455213568,0.181145585,0.641347905
1/6/2015 21:00,0.745556805,0.394158291,0.180310263,0.636429872
1/6/2015 22:00,0.745669291,0.33008794,0.179952267,0.638615665
1/6/2015 23:00,0.745669291,0.247613065,0.174105012,0.703825137
1/7/2015 0:00,0.745669291,0.241896985,0.171957041,0.691074681
1/7/2015 1:00,0.745781777,0.240201005,0.172195704,0.678506375
1/7/2015 2:00,0.745669291,0.240515075,0.171479714,0.655919854
1/7/2015 3:00,0.745556805,0.254522613,0.170286396,0.624772313
1/7/2015 4:00,0.745669291,0.29290201,0.172792363,0.58579235
1/7/2015 5:00,0.745331834,0.448806533,0.174224344,0.530236794
1/7/2015 6:00,0.74431946,0.632537688,0.173627685,0.489435337
1/7/2015 7:00,0.74488189,0.692462312,0.189618138,0.439526412
1/7/2015 8:00,0.745331834,0.698932161,0.193078759,0.397996357
1/7/2015 9:00,0.745444319,0.696105528,0.189856802,0.364663024
1/7/2015 10:00,0.745556805,0.693844221,0.186873508,0.355373406
1/7/2015 11:00,0.745444319,0.695477387,0.175178998,0.340801457
1/7/2015 12:00,0.745894263,0.695917085,0.168377088,0.32859745
1/7/2015 13:00,0.745894263,0.702952261,0.168138425,0.313843352
1/7/2015 14:00,0.746006749,0.722236181,0.168973747,0.295992714
1/7/2015 15:00,0.745781777,0.725565327,0.187231504,0.278688525
1/7/2015 16:00,0.745669291,0.722424623,0.188066826,0.281238616
1/7/2015 17:00,0.746456693,0.718907035,0.189260143,0.271038251
1/7/2015 18:00,0.747131609,0.69120603,0.181026253,0.271038251
1/7/2015 19:00,0.747131609,0.60508794,0.17124105,0.292896175
1/7/2015 20:00,0.74735658,0.512562814,0.169809069,0.321129326
1/7/2015 21:00,0.74735658,0.440452261,0.163603819,0.36575592
1/7/2015 22:00,0.747694038,0.349309045,0.162649165,0.413843352
1/7/2015 23:00,0.747694038,0.26419598,0.156324582,0.463570128
1/8/2015 0:00,0.747694038,0.234359296,0.155011933,0.509653916
1/8/2015 1:00,0.748031496,0.228015075,0.155727924,0.551912568
1/8/2015 2:00,0.748031496,0.227638191,0.156085919,0.612932605
1/8/2015 3:00,0.747694038,0.23410804,0.157040573,0.651912568
1/8/2015 4:00,0.747469066,0.264133166,0.158711217,0.677595628
1/8/2015 5:00,0.747469066,0.374937186,0.165871122,0.698724954
1/8/2015 6:00,0.747019123,0.519535176,0.167064439,0.699089253
1/8/2015 7:00,0.747131609,0.558417085,0.16778043,0.684153005
1/8/2015 8:00,0.746569179,0.568090452,0.169212411,0.662112933
1/8/2015 9:00,0.746231721,0.572110553,0.167661098,0.627140255
1/8/2015 10:00,0.746006749,0.579773869,0.16778043,0.590163934
1/8/2015 11:00,0.746006749,0.58071608,0.167422434,0.557377049
1/8/2015 12:00,0.746681665,0.584987437,0.166706444,0.528051002
1/8/2015 13:00,0.746119235,0.613002513,0.166825776,0.505464481
1/8/2015 14:00,0.746006749,0.640452261,0.167661098,0.469398907
1/8/2015 15:00,0.746231721,0.676947236,0.167064439,0.450455373
1/8/2015 16:00,0.746006749,0.687248744,0.166229117,0.441530055
1/8/2015 17:00,0.746231721,0.655276382,0.164319809,0.461930783
1/8/2015 18:00,0.746344207,0.633228643,0.163603819,0.467759563
1/8/2015 19:00,0.746344207,0.566520101,0.16372315,0.482331512
1/8/2015 20:00,0.746569179,0.476570352,0.163484487,0.516939891
1/8/2015 21:00,0.746681665,0.413002513,0.156205251,0.544808743
1/8/2015 22:00,0.747244094,0.319095477,0.153460621,0.567395264
1/8/2015 23:00,0.74735658,0.247738693,0.152983294,0.568123862
1/9/2015 0:00,0.74735658,0.225753769,0.153221957,0.597814208
1/9/2015 1:00,0.747131609,0.223115578,0.153102625,0.609107468
1/9/2015 2:00,0.74735658,0.226005025,0.152625298,0.60564663
1/9/2015 3:00,0.747581552,0.232788945,0.153102625,0.590346084
1/9/2015 4:00,0.747581552,0.29321608,0.155250597,0.570309654
1/9/2015 5:00,0.747019123,0.426758794,0.16372315,0.5428051
1/9/2015 6:00,0.747131609,0.572361809,0.16575179,0.508378871
1/9/2015 7:00,0.746681665,0.607035176,0.166825776,0.473224044
1/9/2015 8:00,0.746906637,0.61959799,0.167661098,0.438979964
1/9/2015 9:00,0.746006749,0.640326633,0.167183771,0.411111111
1/9/2015 10:00,0.746119235,0.651067839,0.167183771,0.386156648
1/9/2015 11:00,0.746344207,0.646042714,0.168257757,0.347723133
1/9/2015 12:00,0.745781777,0.643592965,0.168854415,0.356284153
1/9/2015 13:00,0.746119235,0.634422111,0.169212411,0.34863388
1/9/2015 14:00,0.745894263,0.632223618,0.170644391,0.346994536
1/9/2015 15:00,0.745556805,0.647738693,0.17124105,0.344444444
1/9/2015 16:00,0.745444319,0.656281407,0.176849642,0.339162113
1/9/2015 17:00,0.745444319,0.625565327,0.175775656,0.33989071
1/9/2015 18:00,0.745444319,0.575816583,0.172195704,0.339526412
1/9/2015 19:00,0.745781777,0.533040201,0.172792363,0.334972678
1/9/2015 20:00,0.767154106,0.461243719,0.173747017,0.328051002
1/9/2015 21:00,0.771878515,0.397738693,0.166706444,0.316211293
1/9/2015 22:00,0.771428571,0.333982412,0.166825776,0.299453552
1/9/2015 23:00,0.770528684,0.271859296,0.1650358,0.25136612
1/10/2015 0:00,0.761079865,0.250628141,0.164677804,0.231693989
1/10/2015 1:00,0.746006749,0.258040201,0.164797136,0.206921676
1/10/2015 2:00,0.746231721,0.263128141,0.1650358,0.177595628
1/10/2015 3:00,0.749718785,0.26790201,0.165155131,0.156284153
1/10/2015 4:00,0.790101237,0.289133166,0.169093079,0.141894353
1/10/2015 5:00,0.807536558,0.323994975,0.169212411,0.145355191
1/10/2015 6:00,0.820472441,0.349371859,0.169212411,0.171948998
1/10/2015 7:00,0.828683915,0.389384422,0.169689737,0.219854281
1/10/2015 8:00,0.833858268,0.404648241,0.169212411,0.293989071
1/10/2015 9:00,0.853655793,0.416080402,0.170047733,0.385245902
1/10/2015 10:00,0.859955006,0.41419598,0.169570406,0.459016393
1/10/2015 11:00,0.860067492,0.387060302,0.169809069,0.522040073
1/10/2015 12:00,0.864791901,0.374748744,0.168735084,0.570856102
1/10/2015 13:00,0.873453318,0.364949749,0.166109785,0.623497268
1/10/2015 14:00,0.872553431,0.371482412,0.166348449,0.650455373
1/10/2015 15:00,0.872890889,0.387562814,0.161813842,0.68852459
1/10/2015 16:00,0.878627672,0.387562814,0.168973747,0.689071038
1/10/2015 17:00,0.881552306,0.385866834,0.169451074,0.660655738
1/10/2015 18:00,0.886614173,0.375565327,0.169212411,0.663205829
1/10/2015 19:00,0.886839145,0.319221106,0.170286396,0.662659381
1/10/2015 20:00,0.886951631,0.297173367,0.169689737,0.659744991
1/10/2015 21:00,0.887176603,0.266331658,0.170286396,0.667941712
1/10/2015 22:00,0.886951631,0.241834171,0.169451074,0.667395264
