timestamp,Hydro Run-of-River,Fossil gas,Hydro water reservoir,Wind onshore
2014-12-31 23:00:00,0.27654867256637167,0.2679432624113475,0.4203427895981087,0.6968115942028986
2015-01-01 00:00:00,0.2739159292035398,0.2670921985815603,0.4128132387706856,0.7220289855072464
2015-01-01 01:00:00,0.27207964601769913,0.2735460992907801,0.39885342789598105,0.6947826086956521
2015-01-01 02:00:00,0.2725,0.27382978723404255,0.3899330181245075,0.6126086956521739
2015-01-01 03:00:00,0.27292035398230086,0.27397163120567375,0.3820606776989756,0.5918840579710145
2015-01-01 04:00:00,0.27172566371681417,0.27375886524822696,0.3855082742316785,0.6027536231884058
2015-01-01 05:00:00,0.27064159292035395,0.27439716312056733,0.3894602048857368,0.548695652173913
2015-01-01 06:00:00,0.2727433628318584,0.27375886524822696,0.388317572892041,0.4771014492753623
2015-01-01 07:00:00,0.2701106194690266,0.27297872340425533,0.3929117415287628,0.47608695652173916
2015-01-01 08:00:00,0.2715044247787611,0.2731205673758865,0.3922498029944838,0.46434782608695646
2015-01-01 09:00:00,0.27081858407079645,0.2736879432624113,0.4014302600472813,0.46304347826086956
2015-01-01 10:00:00,0.2709734513274336,0.27595744680851064,0.41076832151300235,0.4757971014492754
2015-01-01 11:00:00,0.2713274336283186,0.2756737588652482,0.414160756501182,0.6814492753623188
2015-01-01 12:00:00,0.27256637168141595,0.2674468085106383,0.414160756501182,0.7211594202898551
2015-01-01 13:00:00,0.2733849557522124,0.26780141843971633,0.4318360914105595,0.7673913043478261
2015-01-01 14:00:00,0.2711946902654867,0.2704964539007092,0.47230890464933023,0.7178260869565217
2015-01-01 15:00:00,0.2709513274336283,0.27063829787234045,0.5182624113475177,0.9195652173913044
2015-01-01 16:00:00,0.272146017699115,0.27276595744680854,0.5227226162332546,0.807536231884058
2015-01-01 17:00:00,0.27042035398230085,0.2732624113475177,0.5005476753349094,0.8168115942028986
2015-01-01 18:00:00,0.2705530973451328,0.2731205673758865,0.4737312844759653,0.9308695652173913
2015-01-01 19:00:00,0.2692920353982301,0.27290780141843973,0.45279353821907015,0.8465217391304348
2015-01-01 20:00:00,0.26993362831858403,0.27617021276595743,0.4259338061465721,0.8004347826086956
2015-01-01 21:00:00,0.268141592920354,0.27687943262411346,0.40926713947990545,0.6753623188405797
2015-01-01 22:00:00,0.26840707964601773,0.27787234042553194,0.3938967691095351,0.5214492753623189
2015-01-01 23:00:00,0.27749999999999997,0.2782978723404255,0.372301024428684,0.4704347826086957
2015-01-02 00:00:00,0.2782300884955752,0.2773049645390071,0.37369976359338064,0.4492753623188406
2015-01-02 01:00:00,0.27621681415929206,0.2778014184397163,0.36305358550039396,0.3969565217391304
2015-01-02 02:00:00,0.27415929203539824,0.27687943262411346,0.3345271867612293,0.39449275362318836
2015-01-02 03:00:00,0.27241150442477874,0.2774468085106383,0.31642631993695824,0.4784057971014493
2015-01-02 04:00:00,0.27168141592920353,0.2776595744680851,0.36383766745468876,0.49913043478260866
2015-01-02 05:00:00,0.2701327433628319,0.27787234042553194,0.4093932230102443,0.611159420289855
2015-01-02 06:00:00,0.2717920353982301,0.25156028368794325,0.48602442868400314,0.6430434782608695
2015-01-02 07:00:00,0.27278761061946905,0.24921985815602835,0.50274231678487,0.6669565217391304
2015-01-02 08:00:00,0.2759513274336283,0.25177304964539005,0.5058747044917258,0.6236231884057971
2015-01-02 09:00:00,0.2797566371681416,0.25156028368794325,0.5114381402679274,0.6907246376811594
2015-01-02 10:00:00,0.2801769911504425,0.24858156028368794,0.5248069345941686,0.7485507246376811
2015-01-02 11:00:00,0.2806194690265487,0.2797163120567376,0.5281796690307329,0.8534782608695651
2015-01-02 12:00:00,0.2782743362831858,0.2750354609929078,0.520086682427108,0.8353623188405797
